"","Kod","Nazwa","dochody_dzialalnosc_gosp_wzrost_2016","dochody_dzialalnosc_gosp_wzrost_2017","dochody_majatek_wzrost_2016","dochody_majatek_wzrost_2016.1","dochody_najm_dzierzawa_wzrost_2016","dochody_najm_dzierzawa_wzrost_2017","dochody_nieruchomosci_wzrost_2016","dochody_nieruchomosci_wzrost_2017","dochody_podatek_lesny_wzrost_2016","dochody_podatek_lesny_wzrost_2017","dochody_podatek_rolny_wzrost_2016","dochody_podatek_rolny_wzrost_2017","dochody_srodki_transportowe_wzrost_2016","dochody_srodki_transportowe_wzrost_2017","dochody_total_wzrost_2016","dochody_total_wzrost_2017","dochody_uslugi_wzrost_2016","dochody_uslugi_wzrost_2017","ludnosc_przed_prod_wzrost_2016","ludnosc_przed_prod_wzrost_2017","ludnosc_prod_wzrost_2016","ludnosc_prod_wzrost_2017","ludnosc_prod_mobil_wzrost_2016","ludnosc_prod_mobil_wzrost_2017","ludnosc_prod_niemobil_wzrost_2016","ludnosc_prod_niemobil_wzrost_2017","ludnosc_po_prod_wzrost_2016","ludnosc_po_prod_wzrost_2017"
"1298",1601011,"Brzeg (1)",-0.184279681900659,0.0900458094945972,-0.131501504503824,-0.131501504503824,0.0246375220448475,-0.066534372991667,0.0695024977355111,0.0809448102972876,0.0827932598833441,-0.0272332784677539,-0.111518687942797,-0.0838411194935624,0.355539095198461,-0.0770695895678667,0.0294380898714574,0.0657367320653048,-0.404073876840082,-0.275986003214636,-0.00385647216633132,-0.00656455142231947,-0.0161412921976302,-0.0152699509180149,-0.0139555167902311,-0.0138581748488869,-0.019635180666899,-0.017539701351031,0.0254299754299754,0.0231220797891458
"1299",1601022,"Skarbimierz (2)",-0.0948433728530677,0.66506520448762,-0.562423230792492,-0.562423230792492,-0.167164218889038,3.22296683987335,-0.00635621932188061,0.0524174042873619,0.366536434685198,0.0156836935730986,0.0274428272204811,-0.03306336947321,0.641698096439934,0.0807118483837169,-0.0121669252824899,0.137622866753695,-1,NA,0.0018796992481203,0.0218886804252658,0.00212437234453457,0.00115629215648487,-0.0125635656595872,-0.0115116631323841,0.0288828337874659,0.0233050847457627,0.024263431542461,0.038917089678511
"1300",1601033,"Grodków (3)",0.0128715858341458,0.334289798566639,-0.0413837031781768,-0.0413837031781768,0.0496257841024797,-0.0479683677636283,-0.0476167192845623,0.117303475143335,0.325541323202055,-0.0052500271163421,-0.0604356954689869,-0.0660826617672907,0.0377861237090405,0.0760541929138085,0.012583769143235,0.0654690909213322,0.0204535142020822,-0.0402631505371124,-0.0227143668370244,0,-0.0144763445208249,-0.00828819957328081,-0.0113372842051018,-0.00794891842585353,-0.019769715402998,-0.00886524822695036,0.0375275938189845,0.0236702127659574
"1301",1601043,"Lewin Brzeski (3)",-0.324776869495818,-0.61371268226114,-0.260846053335583,-0.260846053335583,-0.0332305534100454,0.0557047251607486,0.0472673784901415,0.255036735573866,0.716408023010809,-0.0113296812749004,-0.115160675999496,-0.051891341762296,0.0259414480736689,0.214916241070942,0.0206369087013475,0.103755597114003,-0.437960249171678,0.0924811840490824,-0.0307239057239057,-0.0251845419018671,-0.0137481067225912,-0.0147666863555818,-0.0143699336772292,-0.0134579439252336,-0.0126782884310618,-0.0170144462279294,0.0286324786324786,0.0299127544661404
"1302",1601052,"Lubsza (2)",0.0557066466069187,-0.132514387967307,-0.362657532311839,-0.362657532311839,-0.0932097293569398,0.0892751684183895,-0.128981152543591,0.0545699885653445,0.531205602150725,0.0104373373638861,0.00408328681554148,0.0582823300553287,0.0757590370592108,0.403598085289492,0.0360902880183629,0.104137340140252,-0.12016164776042,0.055943660114802,-0.0198142414860681,-0.0233733417561592,-0.0100241963359834,-0.00768156424581006,-0.00391498881431767,-0.00898371701291409,-0.0199095022624434,-0.00554016620498615,0.0301167793484942,0.022673031026253
"1303",1601062,"Olszanka (2)",-0.215113943998357,-0.0735413887592259,-0.28294342179793,-0.28294342179793,-0.233312022476333,-0.0137549526867825,-0.207413895128112,0.374816688251056,0.542521998877616,0.00871319786576187,-0.122275580412192,-0.0172312616739144,0.0440817231503837,-0.1007173671027,-0.102437661113897,0.186631890961224,-0.264934500384841,0.00492794198066684,-0.00436681222707424,-0.00767543859649123,-0.0120329322355921,-0.00320512820512821,-0.00850425212606303,-0.0105953582240161,-0.0181190681622088,0.00966608084358524,0.0510204081632653,0
"1304",1602013,"Baborów (3)",-1,NA,-0.0549732484871053,-0.0549732484871053,0.0590690210565201,-0.00184989604194432,-0.042168850362638,-0.0787217598635427,0.562039057595648,0.0335622517847801,-0.117748554467257,-0.0374765395051146,0.0623116012431901,0.148977523080967,-0.0350721467658366,-0.033996195787736,-0.146781194660714,-0.0667672006327852,-0.0454545454545455,-0.0194805194805195,-0.0142226581657675,-0.0206467661691542,-0.015069066555044,-0.0157246068848279,-0.0130254588513914,-0.0275944811037792,0.0361990950226244,0.0436681222707424
"1305",1602022,"Branice (2)",-0.235664054651396,-0.118582581951053,0.408098968252105,0.408098968252105,0.145195823992594,-0.0621577417963634,-0.0203137931354861,0.0473775741214455,0.581912527798369,0.0393626991565136,-0.118527067727925,-0.0170206433198459,0.434410209243504,0.145192962770008,-0.00212405313385702,0.0511638590801923,-0.195208385366979,0.0579825964759325,-0.0245901639344262,-0.00840336134453781,-0.0385251713542898,0.00245821042281219,-0.0293624161073825,-0.00950734658599827,-0.0503519220357336,0.0182440136830103,0.00780741704619388,0.0193673337637185
"1306",1602033,"Głubczyce (3)",-0.681030366057099,0.533135305143438,0.0400762672167199,0.0400762672167199,0.00216768527007419,-0.0214278135869429,-0.05478666510635,0.00366100267662482,0.611272395427289,-0.0121336391500575,-0.115241015152215,-0.0340982511100877,-0.0679429361186741,0.126746887692518,0.00657471021987791,0.015851388461254,-0.0116747932299477,0.0286593931876467,-0.0150873478030704,0.000268744961031981,-0.0121457489878543,-0.0177595628415301,-0.00795042675084766,-0.0168532704773129,-0.0186391603329714,-0.0191775769869076,0.0223622687538118,0.0228673692583019
"1307",1602043,"Kietrz (3)",-0.470309765404589,0.4265994360242,0.34413613093314,0.34413613093314,0.0837925860260496,-0.0973060759288524,-0.134494486456576,0.106349796448601,0.369153459605721,0.0240636175418785,-0.0554243146789421,-0.0163940969498631,-0.100534313170948,0.0736652099030779,-6.96274608390576e-05,0.109120074150066,0.0533486298944789,-0.0724225673157752,-0.0298750678978816,-0.0363941769316909,-0.0150522648083624,-0.0104712041884817,-0.0161834120026972,-0.00845327850125657,-0.0132061628760088,-0.0137546468401487,0.0321995464852608,0.023286467486819
