"","Nazwa","dochody 2002","dochody 2003","dochody 2004","dochody 2005","dochody 2006","dochody 2007","dochody 2008","dochody 2009","dochody 2010","dochody 2011","dochody 2012","dochody 2013","dochody 2014","dochody 2015","dochody 2016","dochody 2017","dochody 2018","dochody 2019"
"1277","Poświętne (2)",255,246,290,354,386.19,470.94,581.89,453.3,448.06,470.51,501.58,597.6,675.29,711.99,800.66,849.41,993.79,1228.97
"1278","Radzymin (3)",772,769,891,1044,1192.03,1536.09,1591,1673.74,1651.44,1534.63,1610.84,1699.59,1854.95,2010.82,2310.25,2482.3,2715.11,3075.6
"1279","Strachówka (2)",338,339,353,503,501.08,586.52,606.95,740.03,518.37,589.06,796.98,888.62,1248.85,880.51,1095.5,1276.91,1717.24,1812.36
"1280","Tłuszcz (3)",348,384,436,495,562.14,670.24,817.33,717.39,733.32,804.22,853.58,885.94,963.78,1003.03,1155.4,1255.53,1570.64,1747.2
"1281","Wołomin (3)",659,659,762,873,974.76,1139.91,1203.67,1164.31,1262.85,1359.27,1572.61,1845.1,1780.25,1800.66,1898.96,1813.7,1977.09,2362.95
"1282","Brańszczyk (2)",397,353,385,422,570.61,606.17,732.16,739.39,782.71,823.75,884.27,1038.05,1239.42,1406.67,1458.85,1474.88,1837.49,1808.58
"1283","Długosiodło (2)",344,337,406,426,463.29,556.37,909.93,847.27,662.76,726.71,856.74,706.74,965.93,1030.47,1026.82,935.26,1204.29,1342.64
"1284","Rząśnik (2)",325,327,385,505,617.82,602.63,680.57,810.84,752.95,903.9,783.58,911.76,932.42,1008.96,1082.93,1091.65,1282.82,1488.74
"1285","Somianka (2)",434,402,470,569,582.96,651.6,965.17,788.09,860.97,845.07,942.33,1056.74,1167.8,1224.96,1272.7,1462.6,1661.88,1834.43
"1286","Wyszków (3)",644,548,719,876,886.17,1014.98,1106.56,1112.37,1233.45,1272.42,1594.57,1606.18,1766.33,1631.6,1841.5,1997.24,2119.7,2250.2
"1287","Zabrodzie (2)",348,310,391,503,581.73,785.18,985.83,887.48,782.66,752.91,798.85,904.97,1004.65,1095.87,1178.9,1321.65,1620.9,1912.19
"1288","Kazanów (2)",263,267,242,329,369.94,451.85,543.34,532.54,439.63,529.41,506.61,629.77,585.78,727.88,855.05,932.08,990.07,955.31
"1289","Policzna (2)",302,328,371,477,558.68,558.9,673.3,644.91,715.58,760.95,757.58,897.46,933.36,987.93,1029.05,1149.56,1221.05,1246.87
"1290","Przyłęk (2)",251,241,275,347,426.92,468.77,577.47,520.16,450.61,465.34,549.51,601.87,665.26,739.34,810.2,873.64,938.53,1328.73
"1291","Tczów (2)",319,302,333,470,471.91,549.66,711.83,689.51,576.85,633.87,606.59,667.55,726.39,960.91,895.56,871.71,850.27,1014.5
"1292","Zwoleń (3)",423,460,523,564,703.8,751.79,941.47,912.7,897.38,988.32,1065.29,1153.11,1333.47,1361.45,1327.71,1395.29,1517.55,1693.99
"1293","Bieżuń (3)",353,359,412,515,557.54,565.62,889.25,841.92,677.2,690.36,772.73,1028.03,1226.1,1164.95,1249.57,1285.04,1517.55,1896.88
"1294","Kuczbork-Osada (2)",383,376,407,443,620.11,654.73,765.4,648.91,544.04,874.69,587.93,1017.59,1530.89,1469.27,1275.72,1939.4,1617.91,1229.05
"1297","Lutocin (2)",238,241,257,341,345.59,407.13,451.98,643.52,1375.09,739.21,437.3,473.21,509.92,543.83,568.22,615.94,710.61,814.71
"1298","Siemiątkowo (2)",285,274,288,393,437.85,648.37,638,588.39,528.09,509.79,657.25,657.1,723.26,871.15,919.69,1016.02,1124.09,1233.58
"1299","Żuromin (3)",438,470,517,568,655.43,730.58,819.58,912.56,799.97,851.16,977.84,1150.4,1130.78,1328.04,1250.59,1557.79,1460.23,1687.57
"1300","Żyrardów (1)",876,914,1148,1119,1264.3,1503.2,1621.68,1512.29,1614.63,1848.66,1777.28,1749.2,1812.6,2071.66,2165.24,2319.56,2631.13,2903.02
"1301","Mszczonów (3)",1176,1126,1279,1447,1487.66,1722.58,2382.89,2307.74,2432.39,2686.3,2650.2,2844.42,2771.87,3293.44,3219.42,3370.48,3857.26,4106.91
"1302","Puszcza Mariańska (2)",412,410,500,534,696.9,813.14,896.07,787.83,849.96,891.5,916.53,1066.16,1142.82,1596.34,1331.01,1409.13,1538.37,1881.13
"1303","Radziejowice (2)",786,887,829,856,1042.04,1436.14,1733.88,1441.54,2131.77,1812.41,2440.55,2364.21,2776.81,2657.88,2889.13,2938.42,4095.4,3448.57
"1304","Wiskitki (2)",422,461,486,507,666.25,691.53,926.55,762.38,877.9,955.16,1085.33,1168.22,1329.87,1528.25,1325.41,2953.32,1899.09,1805.53
"1305","Ostrołęka (1)",875,833,1085,1176,1323.5,1575.18,1851.92,1824.67,1866,2034.19,2280.24,2235.96,2487.61,2747.02,2791.89,2940.58,3323.11,3499.83
"1306","Płock (1)",1617,1676,2169,2602,2703.02,2943.66,3195.02,2898.55,3198.87,3099,3771.06,3286.85,3721.68,3920.48,4271.8,4967.11,5050.25,5494.61
"1307","Radom (1)",764,752,989,1060,1207.72,1395.72,1771.63,1757.87,1666.67,1869.59,1832.05,2078.05,2141.81,2252.12,2300.53,2402.5,2539.47,2757.71
"1308","Siedlce (1)",823,803,1036,1250,1303.11,1455.3,1665.48,1530.26,2078.28,1777.51,2266.78,2101.51,3166.4,2770.68,2436.76,2540.2,2748.59,2915.83
"1309","M.st.Warszawa od 2002 (1)",2375,2101,2872,3642,4254.9,4885.13,5170.97,4941.33,4903.53,5118.81,5179.57,5539.26,5963.55,6371.23,6308.61,6617.7,7236.69,7307.64
"1310","Brzeg (1)",826,684,876,882,1020.19,1270.53,1319.14,1310,1382.76,1573.75,1638.22,1712.19,1809.49,1953.17,2019.52,2162.56,2267.96,2840.44
"1311","Skarbimierz (2)",878,929,827,820,1025.2,1244.22,1665.12,1619.41,1868.53,2007.87,2426.11,2977.96,2469.31,2715.4,2644.8,3014.06,3150.1,3088.7
"1312","Grodków (3)",690,677,769,820,823.21,982.86,1243.57,1173.56,1162.17,1212.72,1340.57,1367.82,1574.39,1504.61,1532.31,1640.9,1744.59,2056.43
"1313","Lewin Brzeski (3)",505,594,658,724,806.72,931.78,900.14,947.45,914.28,1067.05,1154.95,1377.78,1394.78,1422.13,1462.33,1631.55,1768.22,1943.82
"1314","Lubsza (2)",480,465,529,535,628.18,660.89,894.81,800.75,822.54,868.04,1039.76,1129.84,1382.86,1318.93,1361.09,1510.69,1609.21,1750.72
"1315","Olszanka (2)",605,637,782,772,733.65,865.53,1063.83,1253.3,1108.28,1238.41,1245.02,1412.05,1513.41,1707.69,1545.49,1836.16,1918.13,2090.35
"1316","Baborów (3)",742,809,845,982,948.78,1085.16,1269.84,1242.84,1067.86,1232.66,1393.53,1413.08,1486.6,1581.9,1531.15,1495.94,1582.02,1705.24
"1317","Branice (2)",398,423,476,542,570.02,683.04,801.52,738.43,760.3,905.76,1131.02,1826.99,1311.67,1255.35,1263.87,1367.62,1451.32,1697.14
"1318","Głubczyce (3)",741,722,817,870,842.44,977.92,1281.89,1125.2,1190.98,1294.38,1456.87,1516.2,1675.11,1688.86,1716.44,1755.87,1923.79,1991.73
"1319","Kietrz (3)",475,465,504,577,578,703.28,932.64,944.97,1224.97,1275.78,1421.06,1423.98,1633.49,1556.7,1562.32,1743.91,1759.29,1818.58
"1320","Kędzierzyn-Koźle (1)",1179,1273,1410,1441,1560.25,1771.58,2124.63,1892.08,1907.24,2241.19,2370.9,2285.75,2254.16,2350.57,2567.48,2722.73,2886.71,3326.6
"1321","Bierawa (2)",1119,1020,1009,1138,1272.64,1370.88,1595.46,1381.08,1559.16,1518.76,1433.93,1579.21,1633.9,1838.05,2074.69,2147.45,2054.66,2173
"1322","Cisek (2)",426,457,584,488,494.84,577.34,675.7,729.43,1130.1,873.23,972.02,1006.75,1107.23,1185.27,1184.43,1220.15,1418.64,1638.58
"1323","Pawłowiczki (2)",559,547,646,639,643.62,776.13,960.22,842.88,814.41,890.69,1095.36,1378.18,1310.87,1269.4,1158.94,1211.21,1298.74,1432.45
"1324","Polska Cerekiew (2)",723,767,900,823,982.3,1173.56,1445.81,1394.1,1606.71,1968.88,2275.84,2023.51,2055.17,2056.21,2101.48,2307.14,2158.39,2502.79
"1325","Reńska Wieś (2)",439,606,536,639,632.95,758.98,1081.53,879.79,931.12,1061.89,1059.18,1110.55,1146.31,1163.36,1274.1,1343.33,1428.59,1772.92
"1326","Byczyna (3)",456,506,623,714,746.53,859.26,1070.05,1003.09,1071.88,1202.92,1180.02,1512.87,1560.19,1717.19,1477.71,1684.65,6650.07,3435.05
"1327","Kluczbork (3)",637,653,746,786,922.9,1168.79,1185.06,1186.76,1344.18,1495.44,1442.15,1436.6,1632.22,1728.28,1830.78,1882.36,2047.72,2280.9
"1328","Lasowice Wielkie (2)",366,332,396,436,440.73,513.8,611.26,611.23,841.43,871.46,872.54,820.05,1014.58,927.79,954.89,981.11,1089.34,1169.58
"1329","Wołczyn (3)",534,546,611,644,673.97,727.11,876.01,821.78,925.34,926.5,1032.33,1142.01,1314.69,1389.1,1271.28,1339.59,1425.58,1659.34
"1330","Gogolin (3)",1532,1827,1610,1786,2174.12,2224.19,2584.94,2758.05,2707.22,2578.68,2759.49,2846.51,3104.87,3241.15,3235.79,3441.11,3683.91,3656.89
"1331","Krapkowice (3)",638,723,839,874,966.48,1083.11,1212.49,1253.51,1247.84,1345.45,1686.19,1596.21,1792.31,1830.29,1854.1,2022.22,2105.02,2363.56
"1332","Strzeleczki (2)",378,360,449,493,523.77,601.61,971.66,686.43,734.3,775.66,782.31,885.62,1104.2,1161.53,1464.7,1385.87,1424.14,1707.97
"1333","Walce (2)",360,371,448,550,530.55,618.9,768.42,745.94,826.99,872.03,946.68,1027.78,1111.31,1112.19,1185.42,1164.81,1252.08,1502.87
"1334","Zdzieszowice (3)",746,784,857,2191,1751.37,1731.79,1623.23,2015.67,1728.3,1607.2,1647.11,1722.22,1928.38,1900.07,1957.95,1972.94,2255.18,2503.72
"1335","Domaszowice (2)",489,506,524,570,595.77,711.74,978.7,873.91,966.15,1071.8,1192.74,1660.15,1646.93,1626.72,1430.57,1388.32,1502.1,1659.28
"1336","Namysłów (3)",822,621,754,756,911.62,964.4,1218.99,1288.74,1326.45,1393.38,1415.02,1498.29,1808.37,1842.18,1789.52,1867.48,2169.57,2123.81
"1337","Pokój (2)",399,486,506,508,526.03,565.99,800.67,736.9,1081.87,965.21,871.78,1048.31,1310.74,1418.29,1272.9,1656.41,1490.41,1705.68
"1338","Świerczów (2)",455,477,505,578,535.19,625.03,1419.36,798.52,793.72,1009.55,1996.85,1342.07,1642.98,1512.52,1311.1,1441.82,1467.6,1656.55
"1339","Wilków (2)",581,595,546,640,600.09,757.5,943.36,942.65,1041.67,1073.19,1208.95,1902.86,2349.17,2121.54,2051.41,2340.19,2226.9,2547.48
"1340","Głuchołazy (3)",556,573,592,678,694.76,905.76,1096.64,1118.55,1174.84,1192.72,1473.11,1493.52,1811.89,1734.23,1822.67,1747.53,2133.35,2147.55
"1341","Kamiennik (2)",397,569,541,513,637.35,752.41,885.86,894.04,790.32,805.33,1410.42,1620.68,2046.13,1847.65,1778.69,1631.05,1757.64,1923.59
"1342","Korfantów (3)",372,422,531,493,508.82,560.67,640.92,607.34,658.16,820.8,813.87,932.8,1285.62,1353.54,1213.67,1249.22,1242.09,1404.68
"1343","Łambinowice (2)",494,544,504,511,577.77,805.18,910.67,806.7,825.25,856.63,969.95,1558.02,1250.23,1364.47,1401.15,1400,1562.45,1574.65
"1344","Nysa (3)",687,685,836,965,987.63,1159.99,1311.2,1210.25,1654.26,1359.65,1425.44,1422.48,1636.55,1626.65,1875.62,1819.73,2019.21,2211.91
"1345","Otmuchów (3)",627,733,703,754,815.41,861.57,1018.43,1040.38,1124.62,1203.8,1101.55,1384.03,1435.04,1439.71,1444.19,1532.47,1791.84,1824.82
"1346","Paczków (3)",586,572,646,823,677.71,880.7,1021.14,928.49,1020.82,986.81,1175.02,1191.71,1297.84,1295.99,1307.58,1353.13,1407.97,1690.61
"1347","Pakosławice (2)",532,505,442,501,516.61,556.75,828.84,873.83,943.45,964.42,1215.41,1248.07,1371.1,1481.57,1350.96,1523.93,1601.75,1781.95
"1348","Skoroszyce (2)",482,447,462,487,824.18,618.31,812.81,763.7,767.06,909.51,1307.96,1115.75,1199.3,1304.11,1249.91,1237.87,1359.42,2108.04
"1349","Dobrodzień (3)",562,532,663,696,729.13,765.48,846.61,800.11,865.24,959.21,1021.75,1252.28,1238.64,1288.09,1376.34,1540.48,1634.21,1857.12
"1350","Gorzów Śląski (3)",472,535,660,599,634.05,685.24,836.46,827.54,872.88,976.5,1215.23,1189.49,1269.24,1306.93,1232.6,1298.04,1431.23,1486.04
"1351","Olesno (3)",635,728,775,754,938.42,1013.02,1081.63,1111.93,1298.69,1127.26,1180.48,1234.94,1399.74,1357.34,1433.53,1556.87,1705.77,2006.35
"1352","Praszka (3)",546,532,607,680,1107,874.06,972.87,1044.09,925.62,1178.54,1207.92,1336.16,1362.81,1479.65,1584.09,1617.92,1716.63,1805.84
"1353","Radłów (2)",386,395,550,487,425.77,452.56,570.69,525.33,538.28,627.14,764.02,878.66,1096.26,995.21,985.84,942.18,1001.62,1321.5
"1354","Rudniki (2)",509,476,622,509,527.99,611.7,762.68,716.77,822.16,879.08,936.04,999.09,1113.12,1171.53,1216.41,1228.91,1343.77,1508.61
"1355","Zębowice (2)",299,285,290,377,428.21,468.47,550.38,491.44,524.28,590.21,634.22,720.79,857.19,883.42,1053.48,1231.91,998.28,1205.07
"1356","Chrząstowice (2)",542,533,556,755,806,882.55,981.52,1020.07,953.83,919.25,1257.07,1345.92,1314.55,1440.33,1540.38,1692.71,1800.67,2458.14
"1357","Dąbrowa (2)",534,506,692,664,745.81,962.14,939.08,1287.32,1140.09,1150.55,1306.27,1224.15,1389.6,1465.69,1527.99,1617.01,1776.48,2016.71
"1358","Dobrzeń Wielki (2)",2412,2452,2655,2686,2817.73,3235.62,3109.26,2693.22,2833.97,3190.24,3452.42,3576.07,3657.27,3754.62,4718.73,2287.58,2313.49,2615.37
"1359","Komprachcice (2)",426,422,516,701,615.38,726.46,925.48,1166.83,1013.8,1009.82,1150.14,1113.16,1205.59,1292.4,1286.42,1381.27,1537.73,1689.79
"1360","Łubniany (2)",424,431,492,496,590.74,696.08,778.63,781.43,798.44,866.05,975.14,1098.99,1253.37,1375.28,1449,1565.59,1681.64,1905.54
"1361","Murów (2)",452,484,501,573,590.22,723.98,773.62,858.7,1283.31,1608.12,1068.72,1287.8,1279.27,1771.73,1483.04,1609.48,1782.46,1909.35
"1362","Niemodlin (3)",571,627,692,790,828.59,968.91,1294.99,1235.73,1297.37,1347.65,1649.3,1676.96,1766.57,1906.1,1864.47,2011.37,2154.59,2374.39
"1363","Ozimek (3)",476,556,710,861,1072.92,996.3,1193.22,1049.4,950.75,1102.41,1313.39,1486.62,1426.58,1587.38,1679.93,1889.5,1809.27,2018.89
"1364","Popielów (2)",464,474,579,595,592.21,690.35,802.09,868.84,973.68,955.96,1051.12,1170.75,1265.11,1422.75,1399.83,1314.16,1395.81,1721.51
"1367","Tarnów Opolski (2)",608,670,684,728,803.95,905.64,1004.2,1056.03,1275.24,1195.19,1289.45,1443.19,1532.67,1538.98,1556.34,1706.71,1867.03,2221.96
"1370","Turawa (2)",625,773,794,818,783.37,2139.17,1297,929.99,994.95,1158.62,1386.42,1479.29,1547.41,1659.63,1661.44,1758.65,1955.79,2084.84
"1371","Biała (3)",417,444,495,494,536.42,745.37,883.92,826.94,803.24,819.23,992.61,1082.95,1158.09,1189.44,1275.17,1316.91,1354.41,1709.06
"1372","Głogówek (3)",540,542,660,690,715.65,764.25,988.05,942.39,1099.3,1276.27,1396.2,1485.96,1648.15,1695.55,1732.12,1741.63,1814.91,1855.75
"1373","Lubrza (2)",607,491,545,570,580,678.19,910.46,901.45,844.62,837.38,1071.14,1174.91,1270.18,1308.98,1266.56,1321.05,1451.75,1601.9
"1374","Prudnik (3)",648,641,712,790,793.01,904.09,1106.64,1049.35,1211.2,1185.24,1243.67,1419.4,1458.79,1445.2,1456.38,1610.51,1694.5,2004.68
"1375","Izbicko (2)",638,543,580,496,597.47,661.14,867.47,750.39,804.4,834.99,957.75,1121.99,1125.8,1264.22,1339.62,1264.04,1549.47,1827.82
"1376","Jemielnica (2)",373,385,449,523,695.92,598.04,676.01,741.45,650.24,711.7,740.55,816.09,937.84,954.4,1078.25,1084.19,1181.15,1365.91
"1377","Kolonowskie (3)",389,417,472,676,650.98,777.42,1235.81,924.45,882.46,1004.53,1169.44,1347.11,1220.95,1490.9,1390.75,1447.35,1743.65,1784.54
"1378","Leśnica (3)",704,600,578,672,689.61,792.17,984.15,940.95,1250.91,1053.56,1155.69,1219.36,1261.06,1354.2,1531.82,1641.94,1713.72,1836.77
"1379","Strzelce Opolskie (3)",868,769,867,888,943.12,1120.07,1196.4,1222.74,1331.21,1450.47,1439.72,1567.9,1708.41,1844.22,2052.63,2065.91,2329.15,2632.48
"1380","Ujazd (3)",840,942,863,777,720.8,966.82,2118.05,1029.72,1228.24,1161.93,1423.24,1276.3,1489.54,1573.75,1663.53,2042.8,2116.76,2446.68
"1381","Zawadzkie (3)",375,483,682,642,832.74,922.99,1051.25,1094.04,1271.1,1302.59,1325.31,1679.04,1616.38,1708.76,1693.2,1783.98,1834.57,2065.98
"1382","Opole (1)",1198,1268,1668,1792,2108.27,2292.2,2662.03,2292.85,2610.33,2746.41,2703.35,2972.99,3242.1,3452.73,3680.33,4018.16,4384.55,4606.99
"1383","Czarna (2)",723,739,1151,724,758.28,797.92,922.55,863.61,843.81,1215.65,939.22,1380.97,1739.23,1584.33,1675.71,1476.35,1969.29,2032.39
"1384","Lutowiska (2)",802,1393,810,962,1960.9,2182.1,2577.79,2415.41,2667.61,2796.05,1841.93,2113.12,2426.78,2175.78,2388.65,2549.87,3932.28,2866.46
"1385","Ustrzyki Dolne (3)",470,517,601,643,745.65,871.94,1120,999.45,1134.29,1151.35,1309.08,1357.82,1488.1,1477,1452.88,1498.9,1735.95,2162.58
"1386","Brzozów (3)",434,406,448,490,568.73,729.11,866.36,819.13,941.82,888.13,1001.7,1049.42,1189.05,1217.46,1241.63,1256.25,1437.71,1556.16
"1387","Domaradz (2)",232,219,254,278,294.57,364.34,496.96,441.24,761.69,667.23,618.5,619.8,763.11,652.78,733.61,836.41,931.67,1116.11
"1388","Dydnia (2)",272,287,304,372,359.14,388.58,521.28,421.9,575.17,540.01,602.17,686.79,778.76,774.38,885.19,869.08,1051.1,1128.78
"1389","Haczów (2)",378,346,391,403,416.91,464.7,567.67,531.06,462.13,652.24,845.15,793.78,952.39,1031.83,888.02,921.37,1050.38,1198.71
"1390","Jasienica Rosielna (2)",292,266,312,377,398.8,459.81,572.28,511.07,566.92,638.72,696.86,749.74,865.67,1327.44,1105.21,953.72,1382.67,1657.27
"1391","Nozdrzec (2)",225,252,248,288,301.22,325.51,405.28,392.06,390.94,442.04,482.34,533.01,622.61,602.46,669.09,672.79,757.76,915.83
"1392","Dębica (1)",755,807,980,1042,1106.95,1223.44,1489.45,1329.97,1446.96,1496.91,1594.1,1634.91,1725.65,1746.58,1870.29,2143.19,2239.76,2752.72
"1395","Czarna (2)",309,314,372,558,438.31,439.04,832.57,799,621.89,680.36,686.04,754.91,785.52,825.91,843.03,925.42,1342.93,1089.03
"1396","Dębica (2)",485,535,587,645,625.37,742.48,1326.3,933.05,1022.84,1034.31,962.83,978,1213.55,1315.64,1375.63,1508.49,1503.59,1856.82
"1397","Jodłowa (2)",210,220,269,299,298.12,425.45,406.93,458.69,461.59,598.9,486.97,508.57,651.6,611.79,671.47,661.54,842.74,1264.39
"1398","Pilzno (3)",398,441,455,492,572.57,727.33,859.82,1025.95,801.26,975.31,915.5,952.56,1056.49,1109.96,1148.31,1177.37,1355.51,1505.1
"1399","Żyraków (2)",305,336,352,458,472.92,525.46,730.97,999.36,1039.65,775.7,921.78,941.99,1090.8,1152.62,1171.89,1205.13,1681.36,2060.05
"1400","Jarosław (1)",737,674,837,907,1032.94,1123.91,1324.68,1274.15,1244.23,1454.39,1490.72,1588.45,1813.66,1810.77,1916.46,1914.28,2006.96,2475.08
"1401","Radymno (1)",471,491,528,691,693.59,957.88,1106.85,1164.08,1300.66,1205.66,1454.45,1618.26,1951.49,1592.25,1782.28,1598.09,1689.09,2555.45
"1402","Chłopice (2)",420,457,499,476,457.45,517.14,604.88,591.42,615.4,706.31,836.43,878.62,951.9,966.06,1030.65,1068.44,1157.18,1366.71
"1403","Jarosław (2)",430,393,445,465,509.6,610.45,772.78,735.12,1000.79,766.89,933.52,999.63,1021.79,1051.64,1206.25,1116.6,1296.47,1397.78
"1404","Laszki (2)",290,260,286,311,334.77,407.59,453.32,427.84,451.83,557.43,790.3,791.53,862.37,861.9,879.37,914.06,1008.43,1082.21
"1405","Pawłosiów (2)",456,503,591,605,615.44,668.09,862.73,833.99,943.57,889.21,934.14,980.04,1037.66,1121.73,1157.79,1195.74,1327.54,1530.3
"1408","Radymno (2)",317,351,361,373,354.7,410.46,552.1,771.67,1435.97,938.79,868.25,986.34,905.1,956.59,1085.96,1050.06,1331.77,1322.08
"1409","Rokietnica (2)",628,637,705,680,646.17,696.58,729.52,662.94,667.15,824.36,796.59,909.22,897.24,1001.3,1153.44,1222.65,1493.84,1498.91
"1410","Roźwienica (2)",291,321,327,338,409.36,455.14,539.7,502.87,525.54,1115.51,702.68,868.93,943.88,947.36,1131.66,1069.37,1025.27,1205.63
"1411","Wiązownica (2)",350,388,398,434,469.34,473.77,634.65,645.18,921.83,772.53,805.61,799.92,855.39,972.75,1104.48,1035.99,1029.58,1149.07
"1412","Jasło (1)",842,862,1043,1161,1234.03,1364.48,1598.17,1589.47,1643.34,1678.36,1958.19,1902.84,2128.84,1977.93,2185.78,2297.65,2357.81,2550.81
"1413","Brzyska (2)",239,214,251,255,289.78,315.77,382.44,326.23,486.83,460.87,493.76,551.72,581.28,620.77,665.45,689.07,837.36,800.06
"1414","Dębowiec (2)",324,281,370,352,380.75,407.83,676.59,545.41,541.38,928.81,648.54,684.52,882.68,764.83,766.84,755.84,887.32,994.98
"1415","Jasło (2)",290,272,344,382,394.8,444.47,978.63,1618.36,976.51,671.61,639.92,718.44,1077.57,843.44,873.96,974.7,1076.14,1207.33
"1418","Krempna (2)",410,364,449,489,526.26,617.69,1139.9,1967.19,1025.22,998.65,969.3,1118.37,1754.85,1960.73,1172.28,1109.52,1567.24,1311.37
"1419","Nowy Żmigród (2)",259,232,596,715,805.75,353.75,408.33,437.41,1249.84,671.6,510.72,552.36,762.65,933.37,811.46,687.06,761.14,933.26
"1420","Osiek Jasielski (2)",270,273,334,332,337.46,384.71,501,1857.25,800.54,763.69,624.9,693.59,627.17,725.76,657.27,665.05,844.85,952.39
"1421","Skołyszyn (2)",346,330,353,372,381.62,458.05,691.97,1043.7,742.83,751.96,766.39,831.85,948.7,964.02,998.58,995.33,1092.27,1215.18
"1423","Tarnowiec (2)",366,354,429,439,454.43,538.01,777.06,757.92,647.24,641.53,779.7,668.88,1070.81,816.18,874.05,878.15,1115.58,1218.36
"1424","Cmolas (2)",286,293,559,403,406.28,433.42,467.43,495.06,428.31,476.9,537.25,513.11,631.53,681.41,695.58,671.69,776.11,821.99
"1425","Kolbuszowa (3)",485,481,549,585,638.45,777.4,837,814.8,820.34,1063.61,974.26,1114.14,1183.58,1276.15,1338.48,1518.7,1640.68,1832.59
"1426","Majdan Królewski (2)",217,230,247,308,282.99,306.78,396.08,385.43,357.87,359.98,404.94,453.58,541.08,641.97,667.32,647.57,748.92,1178.59
"1427","Niwiska (2)",275,232,295,300,367.04,369.65,456.47,441.11,431.25,484.59,540.41,529.97,649.65,659.7,776.87,855.64,1141.33,975.5
"1428","Raniżów (2)",257,285,315,315,360.08,391.32,465.98,486.14,408.46,512.95,608.34,640.53,687.34,710.63,802.01,905.39,998.03,1111.52
"1429","Dzikowiec (2)",212,190,664,245,272.27,321.85,363.5,354.93,439.95,579.29,1079.39,573.37,478.46,631.42,656.76,559.78,544.19,730.25
"1430","Chorkówka (2)",308,296,348,380,464,596.46,564.48,594.52,502.59,632.68,595.05,792.09,738.27,890.9,831.87,965.03,1143.67,1496.82
"1431","Dukla (3)",392,388,405,474,546.67,589.56,699.42,653.78,1234.13,919.82,1035.27,918.84,1286.52,1196.66,1123.37,1249.06,1296.07,1491.34
"1432","Iwonicz-Zdrój (3)",556,522,542,540,603.1,784.69,811.04,729.85,954.27,845.05,839.43,937.45,1006.34,1059.62,1119.45,1165.83,1206.22,1348.05
"1433","Jedlicze (3)",736,759,822,857,931.72,1004.23,1236.41,1366.2,1182.48,1254.61,1242.81,1329.8,1504.22,1465.98,1548.51,1681.57,1758.99,1985.27
"1434","Korczyna (2)",389,399,466,538,566.53,590.81,718.38,657.28,671.06,814.16,938.55,986.65,1341.09,1166.57,1042.92,1114.11,1327.83,1619.52
"1435","Krościenko Wyżne (2)",464,467,577,736,673.72,785.1,836.76,728.1,735.69,836.6,984.63,953.35,1034,1099.91,1175.61,1336.97,1341.33,1493.64
"1436","Miejsce Piastowe (2)",384,399,418,439,461.55,558.01,698.39,644.99,681.4,909.36,822.86,914.9,1055.21,1105.18,1025.06,1132.22,1185.91,1501.08
"1437","Rymanów (3)",410,422,450,526,588.78,640.73,794.96,728.75,801.51,1076.88,833.91,1090.17,1197,1320.22,1217.06,1348.94,1301.73,1600.16
"1438","Wojaszówka (2)",308,287,342,442,489.15,531.84,647.51,598.46,576.74,916.19,803.45,776.46,955.58,1211.86,1015.2,951.45,1129.33,1725.72
"1440","Leżajsk (1)",756,756,943,1021,1078.87,1284.8,1376.6,1608.02,1438.5,1541.87,1368.2,1465.17,1494.4,1720.74,1724.77,1963.3,2071.43,2238.87
"1441","Grodzisko Dolne (2)",290,295,309,336,430.19,410.42,556.49,521.55,539.46,557.64,553.75,653.52,685.74,705.78,825.16,955.92,1087.39,1393.33
"1442","Kuryłówka (2)",304,300,344,440,480.52,504.34,562.86,519.59,544.19,629.53,712.44,761.2,976.72,932.1,857.9,882.75,970.5,1028.95
"1443","Leżajsk (2)",482,471,466,492,496.55,620.81,678.41,846.41,960.07,934.95,863.87,850.96,981.74,963.49,1023.83,1205.86,1373.49,1402.02
"1444","Nowa Sarzyna (3)",596,610,698,704,799.25,854.49,938.49,1002.1,848.36,966.06,969.19,1021.98,1247.28,1193.93,1202.05,1234.42,1336.77,1562.6
"1445","Lubaczów (1)",584,548,602,721,773.2,1025.74,1030.83,1028.12,1045.07,1140.09,1382.33,1405.56,1605.73,1597.13,1635.58,1798.21,2131.56,2586.47
"1446","Cieszanów (3)",403,415,516,478,633.34,761.88,971.96,862.46,704.56,867.94,873.87,1051.07,1185.08,1115.45,1186.19,1302.12,1753.42,1702.29
"1447","Horyniec-Zdrój (2)",444,489,597,523,613.87,689.47,788.93,670.8,934.95,1632.66,1173.06,1332.8,1504.03,1509.73,1345.91,1311.19,1644.93,1601.98
"1448","Lubaczów (2)",374,527,429,476,454.99,506.65,682.11,585.58,1164.21,1499.61,999.63,1095.97,1184.52,1174,1078.75,1201.35,1208.83,1305.85
"1449","Narol (3)",314,360,400,409,481.89,520,601.58,686.58,916.98,972.57,859.82,986.4,1318.2,1109.64,1111.8,1015.11,1185.43,1369.58
"1450","Oleszyce (3)",330,392,428,439,510.47,602.79,685.34,634.66,788.14,799.68,1006.89,966.99,1112.82,1235.19,1162.31,1278.62,1332,1679.6
"1451","Stary Dzików (2)",427,487,1217,1345,1077.44,1091.28,1122.47,1086.57,1378.74,1551.38,1972.73,1525.46,2136.63,2199.88,1634.05,2015.39,2588.18,2414.54
