"","Nazwa","dochody 2002","dochody 2003","dochody 2004","dochody 2005","dochody 2006","dochody 2007","dochody 2008","dochody 2009","dochody 2010","dochody 2011","dochody 2012","dochody 2013","dochody 2014","dochody 2015","dochody 2016","dochody 2017","dochody 2018","dochody 2019"
"68","Leśna (3)",471,512,535,682,825.05,796.23,1095.56,927.5,976.39,977.56,1022.08,1229.6,1283.55,1239.93,1207.19,1232.67,1335.62,1474.06
"69","Lubań (2)",521,551,625,723,902.12,804.35,894.32,1071.91,1141.19,1080.16,1256.14,1280.68,1420.16,1590.4,1524.87,1641.28,1648.9,1807.78
"72","Platerówka (2)",476,559,668,871,939.66,1094.33,1306.49,1186.28,1297,1553.46,1758.61,1529.58,1602.84,1923.99,1989.23,2087.68,2172.84,2203.74
"73","Siekierczyn (2)",603,706,831,864,892.09,1021.77,1270.42,1112.71,1260.01,1805.32,1466.04,1633.01,1929.07,1800.18,1754.32,1784.87,1893.77,2108.09
"74","Lubin (1)",986,1204,1086,1652,1601.63,1904.64,2120.59,2109.77,2094.3,2297.44,2633.05,2482.6,2488.56,2585.46,2641.14,2842.37,3052.12,3184.98
"75","Lubin (2)",1951,1499,2437,2267,3570.86,3225.89,3154.99,2565.28,2506.22,2643.88,2707.34,3070.32,3247.69,3569.6,3570.71,3870.22,4175.45,4877.41
"76","Rudna (2)",2249,3392,3200,2472,3225.44,3331.76,3760.88,3774.45,4185.03,3816.99,5907.74,5202.88,4812.6,4555.81,5079.38,4789.75,5460.98,5823.24
"77","Ścinawa (3)",565,527,631,706,813.16,1064.02,1341.28,990.48,999.38,1117.6,1309.11,1235.52,1371.53,1774.22,1609.27,1686.19,2043.88,2125.51
"78","Gryfów Śląski (3)",503,484,602,558,671.57,799.99,961.73,937.61,815,884.34,996.66,1039.7,1173.88,1305.25,1361.3,1448.88,1485.31,1724.14
"79","Lubomierz (3)",303,347,340,412,430.6,568.32,690.86,680.27,829.41,689.08,864.21,1051.65,1050.16,1157.78,1107.59,1068.81,1143.97,1200.47
"80","Lwówek Śląski (3)",611,713,740,811,908.53,1269.61,1169.72,1109.54,1124.25,1272.18,1330.8,1624.68,1704.93,1690.27,1547.49,1664.74,1745.26,1878.79
"81","Mirsk (3)",432,497,548,652,869.87,916.43,968.27,880.86,866.91,1377.94,1126.5,1657.7,1630.97,1158.17,1222.14,1294.42,1777.04,1426.51
"82","Wleń (3)",515,501,566,592,621.84,683.76,1483.13,1284.5,1106.69,1563.81,934.96,1035.42,1443.98,1725.91,1337.52,1415.58,1711.66,1527.98
"83","Cieszków (2)",450,492,522,539,556.07,615.59,979.91,759.88,775.03,734.77,867.73,1000.7,1016.18,1148.86,1167.59,1220.67,1348.3,1653.21
"84","Krośnice (2)",501,577,656,732,767.09,927.54,1189.84,1264.33,1593.93,1073.94,1417.95,1905.85,2560.1,2526.31,2740.72,2621.69,2841.09,2873.67
"85","Milicz (3)",594,603,708,744,818.94,907.97,1040.5,1009.98,1047.12,1160.26,1151.97,1326.82,1358.4,1558.46,1667.79,1681.67,1940.55,1997.41
