Gmina,Powiat,Województwo,Powierzchnia [km²],Liczba ludności [osoby],Gęstość zaludnienia [osoby/km²]
Bytom,Bytom,śląskie,"69,44",169 617,2443
gmina Bytom Odrzański,nowosolski,lubuskie,"52,38",5499,105
gmina Bytoń,radziejowski,kujawsko-pomorskie,"73,37",3552,48
gmina Bytów,bytowski,pomorskie,"196,92",25 346,129
gmina Cedry Wielkie,gdański,pomorskie,"124,27",6924,56
gmina Cedynia,gryfiński,zachodniopomorskie,"180,61",4320,24
gmina Cegłów,miński,mazowieckie,"95,63",6211,65
gmina Cekcyn,tucholski,kujawsko-pomorskie,"253,26",6755,27
gmina Ceków-Kolonia,kaliski,wielkopolskie,"88,31",4782,54
gmina Celestynów,otwocki,mazowieckie,"88,92",11 682,131
gmina Ceranów,sokołowski,mazowieckie,"111,05",2272,20
gmina Cewice,lęborski,pomorskie,"187,61",7522,40
gmina Charsznica,miechowski,małopolskie,"78,45",7531,96
gmina Chąśno,łowicki,łódzkie,"71,83",2949,41
Chełm,Chełm,lubelskie,"35,28",63 734,1807
gmina Chełm,chełmski,lubelskie,"221,8",14 550,66
gmina Chełm Śląski,bieruńsko-lędziński,śląskie,"23,33",6213,266
gmina Chełmek,oświęcimski,małopolskie,"27,32",13 051,478
gmina Chełmiec,nowosądecki,małopolskie,"111,97",27 995,250
Chełmno,chełmiński,kujawsko-pomorskie,"13,56",19 991,1474
gmina Chełmno,chełmiński,kujawsko-pomorskie,"113,71",5914,52
Chełmża,toruński,kujawsko-pomorskie,"7,84",14 769,1884
gmina Chełmża,toruński,kujawsko-pomorskie,"178,95",9835,55
gmina Chęciny,kielecki,świętokrzyskie,"127,39",14 992,118
gmina Chlewiska,szydłowiecki,mazowieckie,"123,98",6019,49
gmina Chłopice,jarosławski,podkarpackie,"49,2",5595,114
gmina Chmielnik,rzeszowski,podkarpackie,"52,92",6815,129
gmina Chmielnik,kielecki,świętokrzyskie,"142,19",11 417,80
gmina Chmielno,kartuski,pomorskie,"78,61",7505,95
gmina Choceń,włocławski,kujawsko-pomorskie,"99,85",8009,80
gmina Chocianów,polkowicki,dolnośląskie,"221,66",12 953,58
gmina Chociwel,stargardzki,zachodniopomorskie,"160,82",5865,36
gmina Chocz,pleszewski,wielkopolskie,"73,63",4770,65
gmina Choczewo,wejherowski,pomorskie,"183,13",5577,30
gmina Chodecz,włocławski,kujawsko-pomorskie,"122,09",6131,50
gmina Chodel,opolski,lubelskie,"108,37",6682,62
gmina Chodów,kolski,wielkopolskie,"77,79",3153,41
Chodzież,chodzieski,wielkopolskie,"12,77",19 063,1493
gmina Chodzież,chodzieski,wielkopolskie,"212,94",5961,28
gmina Chojna,gryfiński,zachodniopomorskie,"332,3",13 900,42
Chojnice,chojnicki,pomorskie,"21,04",40 004,1901
gmina Chojnice,chojnicki,pomorskie,"458,21",18 724,41
Chojnów,legnicki,dolnośląskie,"5,32",13 727,2580
gmina Chojnów,legnicki,dolnośląskie,"230,92",9545,41
gmina Chorkówka,krośnieński,podkarpackie,"77,35",13 482,174
gmina Choroszcz,białostocki,podlaskie,"163,79",14 823,91
gmina Chorzele,przasnyski,mazowieckie,"370,69",10 239,28
Chorzów,Chorzów,śląskie,"33,24",109 398,3291
gmina Choszczno,choszczeński,zachodniopomorskie,"246,31",21 949,89
gmina Chotcza,lipski,mazowieckie,"89,82",2347,26
gmina Chrostkowo,lipnowski,kujawsko-pomorskie,"74,06",2938,40
gmina Chrzanów,janowski,lubelskie,"71,69",2969,41
gmina Chrzanów,chrzanowski,małopolskie,"79,44",47 535,598
gmina Chrząstowice,opolski,opolskie,"82,35",6862,83
gmina Chrzypsko Wielkie,międzychodzki,wielkopolskie,"84,52",3336,39
gmina Chybie,cieszyński,śląskie,"31,75",9741,307
gmina Chynów,grójecki,mazowieckie,"134,99",9818,73
gmina Ciasna,lubliniecki,śląskie,"133,95",7534,56
Ciechanów,ciechanowski,mazowieckie,"32,78",44 383,1354
gmina Ciechanowiec,wysokomazowiecki,podlaskie,"201,18",8862,44
gmina Ciechanów,ciechanowski,mazowieckie,"140,54",7002,50
gmina Ciechocin,golubsko-dobrzyński,kujawsko-pomorskie,"101,23",4023,40
Ciechocinek,aleksandrowski,kujawsko-pomorskie,"15,26",10 526,690
gmina Cielądz,rawski,łódzkie,"92,93",3992,43
gmina Ciepielów,lipski,mazowieckie,"134,77",5681,42
gmina Ciepłowody,ząbkowicki,dolnośląskie,"77,41",3087,40
gmina Cieszanów,lubaczowski,podkarpackie,"219,44",7386,34
gmina Cieszków,milicki,dolnośląskie,"100,83",4641,46
Cieszyn,cieszyński,śląskie,"28,61",35 102,1227
gmina Ciężkowice,tarnowski,małopolskie,"103,38",11 202,108
gmina Cisek,kędzierzyńsko-kozielski,opolskie,"71,08",5708,80
gmina Cisna,leski,podkarpackie,"287,26",1763,6
gmina Cmolas,kolbuszowski,podkarpackie,"133,99",8122,61
gmina Cybinka,słubicki,lubuskie,"279,67",6611,24
gmina Cyców,łęczyński,lubelskie,"148,11",7951,54
gmina Czajków,ostrzeszowski,wielkopolskie,"70,74",2499,35
gmina Czaplinek,drawski,zachodniopomorskie,"364,84",11 974,33
gmina Czarna,bieszczadzki,podkarpackie,"184,77",2410,13
gmina Czarna,dębicki,podkarpackie,"147,99",12 974,88
gmina Czarna,łańcucki,podkarpackie,"78,07",11 638,149
gmina Czarna Białostocka,białostocki,podlaskie,"206,36",11 571,56
gmina Czarna Dąbrówka,bytowski,pomorskie,"298,06",5864,20
gmina Czarna Woda,starogardzki,pomorskie,"27,73",3245,117
gmina Czarne,człuchowski,pomorskie,"234,83",9246,39
gmina Czarnia,ostrołęcki,mazowieckie,"92,53",2635,28
Czarnków,czarnkowsko-trzcianecki,wielkopolskie,"10,17",10 898,1072
gmina Czarnków,czarnkowsko-trzcianecki,wielkopolskie,"345,77",11 427,33
gmina Czarnocin,piotrkowski,łódzkie,"71,79",4095,57
gmina Czarnocin,kazimierski,świętokrzyskie,"70,32",3860,55
gmina Czarnożyły,wieluński,łódzkie,"69,67",4560,65
gmina Czarny Bór,wałbrzyski,dolnośląskie,"66,4",4861,73
gmina Czarny Dunajec,nowotarski,małopolskie,"217,35",22 318,103
gmina Czastary,wieruszowski,łódzkie,"62,73",3967,63
gmina Czchów,brzeski,małopolskie,"66,43",9834,148
gmina Czechowice-Dziedzice,bielski,śląskie,"66,48",44 970,676
Czeladź,będziński,śląskie,"16,38",32 078,1958
gmina Czemierniki,radzyński,lubelskie,"107,49",4437,41
gmina Czempiń,kościański,wielkopolskie,"142,19",11 491,81
gmina Czeremcha,hajnowski,podlaskie,"96,82",3291,34
gmina Czermin,mielecki,podkarpackie,"80,21",7038,88
gmina Czermin,pleszewski,wielkopolskie,"98,09",4917,50
gmina Czernica,wrocławski,dolnośląskie,"83,63",14 280,171
gmina Czernice Borowe,przasnyski,mazowieckie,"120,18",3835,32
gmina Czernichów,krakowski,małopolskie,"84,22",14 474,172
gmina Czernichów,żywiecki,śląskie,"56,4",6817,121
gmina Czerniejewo,gnieźnieński,wielkopolskie,"111,94",7327,65
gmina Czerniewice,tomaszowski,łódzkie,"128,07",5146,40
gmina Czernikowo,toruński,kujawsko-pomorskie,"170,14",9072,53
gmina Czersk,chojnicki,pomorskie,"380,11",21 563,57
gmina Czerwieńsk,zielonogórski,lubuskie,"194,59",9973,51
gmina Czerwin,ostrołęcki,mazowieckie,"170,24",5131,30
gmina Czerwińsk nad Wisłą,płoński,mazowieckie,"144,11",7750,54
gmina Czerwionka-Leszczyny,rybnicki,śląskie,"114,64",42 105,367
gmina Czerwonak,poznański,wielkopolskie,"82,48",27 279,331
gmina Czerwonka,makowski,mazowieckie,"110,44",2685,24
Częstochowa,Częstochowa,śląskie,"159,71",226 225,1416
gmina Człopa,wałecki,zachodniopomorskie,"349,05",5032,14
Człuchów,człuchowski,pomorskie,"12,78",13 946,1091
gmina Człuchów,człuchowski,pomorskie,"361,47",10 976,30
gmina Czorsztyn,nowotarski,małopolskie,"62,16",7611,122
gmina Czosnów,nowodworski,mazowieckie,"128,45",9840,77
gmina Czudec,strzyżowski,podkarpackie,"84,7",11 801,139
gmina Czyże,hajnowski,podlaskie,"134,53",2061,15
gmina Czyżew,wysokomazowiecki,podlaskie,"130,4",6469,50
gmina Ćmielów,ostrowiecki,świętokrzyskie,"117,91",7481,63
gmina Daleszyce,kielecki,świętokrzyskie,"222,39",15 688,71
gmina Dalików,poddębicki,łódzkie,"114,62",3870,34
gmina Damasławek,wągrowiecki,wielkopolskie,"104,54",5482,52
gmina Damnica,słupski,pomorskie,"167,66",6222,37
Darłowo,sławieński,zachodniopomorskie,"20,21",13 943,690
gmina Darłowo,sławieński,zachodniopomorskie,"269,45",8044,30
gmina Daszyna,łęczycki,łódzkie,"80,91",3964,49
gmina Dąbie,krośnieński,lubuskie,"170,91",5025,29
gmina Dąbie,kolski,wielkopolskie,"130,35",6448,49
gmina Dąbrowa,mogileński,kujawsko-pomorskie,"110,29",4638,42
gmina Dąbrowa,opolski,opolskie,"114,11",8202,72
gmina Dąbrowa Białostocka,sokólski,podlaskie,"263,84",11 783,45
gmina Dąbrowa Biskupia,inowrocławski,kujawsko-pomorskie,"147,28",5140,35
gmina Dąbrowa Chełmińska,bydgoski,kujawsko-pomorskie,"125,04",8218,66
Dąbrowa Górnicza,Dąbrowa Górnicza,śląskie,"188,73",121 802,645
gmina Dąbrowa Tarnowska,dąbrowski,małopolskie,"116,46",21 175,182
gmina Dąbrowa Zielona,częstochowski,śląskie,"100,21",3909,39
gmina Dąbrowice,kutnowski,łódzkie,"46,15",1912,41
gmina Dąbrówka,wołomiński,mazowieckie,"109,22",8010,73
gmina Dąbrówno,ostródzki,warmińsko-mazurskie,"165,74",4394,27
gmina Debrzno,człuchowski,pomorskie,"224,03",9178,41
gmina Deszczno,gorzowski,lubuskie,"168,31",9522,57
gmina Dębe Wielkie,miński,mazowieckie,"77,72",9971,128
Dębica,dębicki,podkarpackie,"33,83",46 289,1368
gmina Dębica,dębicki,podkarpackie,"137,9",25 591,186
Dęblin,rycki,lubelskie,"38,33",16 526,431
gmina Dębnica Kaszubska,słupski,pomorskie,"299,52",9770,33
gmina Dębno,brzeski,małopolskie,"81,6",14 586,179
gmina Dębno,myśliborski,zachodniopomorskie,"318,43",20 907,66
gmina Dębowa Kłoda,parczewski,lubelskie,"188,37",3933,21
gmina Dębowa Łąka,wąbrzeski,kujawsko-pomorskie,"86,12",3182,37
gmina Dębowiec,jasielski,podkarpackie,"86,47",8780,102
gmina Dębowiec,cieszyński,śląskie,"42,64",5826,137
gmina Długołęka,wrocławski,dolnośląskie,"212,84",29 514,139
gmina Długosiodło,wyszkowski,mazowieckie,"167,62",7876,47
gmina Dłutów,pabianicki,łódzkie,"101,23",4535,45
gmina Dmosin,brzeziński,łódzkie,"100,19",4514,45
gmina Dobczyce,myślenicki,małopolskie,"66,39",15 197,229
gmina Dobiegniew,strzelecko-drezdenecki,lubuskie,"351,27",6673,19
gmina Dobra,limanowski,małopolskie,"109,91",9927,90
gmina Dobra,turecki,wielkopolskie,"131,8",6206,47
gmina Dobra,łobeski,zachodniopomorskie,"115,9",4481,39
gmina Dobra (Szczecińska),policki,zachodniopomorskie,"110,28",21 611,196
