"","Kod","Nazwa","dochody_dzialalnosc_gosp_wzrost_2018","dochody_dzialalnosc_gosp_wzrost_2019","dochody_majatek_wzrost_2018","dochody_majatek_wzrost_2018.1","dochody_najm_dzierzawa_wzrost_2018","dochody_najm_dzierzawa_wzrost_2019","dochody_nieruchomosci_wzrost_2018","dochody_nieruchomosci_wzrost_2019","dochody_podatek_lesny_wzrost_2018","dochody_podatek_lesny_wzrost_2019","dochody_podatek_rolny_wzrost_2018","dochody_podatek_rolny_wzrost_2019","dochody_srodki_transportowe_wzrost_2018","dochody_srodki_transportowe_wzrost_2019","dochody_total_wzrost_2018","dochody_total_wzrost_2019","dochody_uslugi_wzrost_2018","dochody_uslugi_wzrost_2019","ludnosc_przed_prod_wzrost_2018","ludnosc_przed_prod_wzrost_2019","ludnosc_prod_wzrost_2018","ludnosc_prod_wzrost_2019","ludnosc_prod_mobil_wzrost_2018","ludnosc_prod_mobil_wzrost_2019","ludnosc_prod_niemobil_wzrost_2018","ludnosc_prod_niemobil_wzrost_2019","ludnosc_po_prod_wzrost_2018","ludnosc_po_prod_wzrost_2019","longitude","latitude","water","vegetation"
"1756",2214052,"Subkowy (2)",-0.604940087101961,1.5312616323542,0.0601228412470104,0.0601228412470104,-0.0114694332651233,0.0116025074500295,0.0382701757515763,-0.0368595541366423,0.0409764268639528,-0.0393634532026806,-0.0187444634340352,0.0191025301112022,0.226696795184513,-0.184802630996043,-0.0537324491548094,0.0567835694110154,0.521976141966188,-0.342959477204331,0.016156462585034,-0.0158995815899582,0.00258769407705578,-0.00258101519931173,-0.000919117647058824,0.000919963201471941,0.00844854070660522,-0.00837776085300838,-0.0469879518072289,0.0493046776232617,18.7788281,54.0032706,1.6e-06,0.0718866
"1757",2214062,"Tczew (2)",0.273046855170313,-0.214482958000618,1.42269183874623,1.42269183874623,0.0624032170544325,-0.0587377899960136,-0.119990474918989,0.136351336547117,0.032401933321447,-0.0313849986867067,-0.0524649650634504,0.0553699474204283,-0.0104177105921688,0.0105273818091497,-0.0993118554660032,0.110262199040475,0.03896888601415,-0.0375072695041412,-0.0455336426914153,0.0477058644788818,-0.018580375782881,0.0189321420974261,-0.0150592758731176,0.0152895250487964,-0.0251647693229479,0.0258143822987093,-0.0358744394618834,0.0372093023255814,18.6865515,54.097167,8e-07,0.0359825
"1758",2215011,"Reda (1)",-0.0689897827826514,0.0741020683842242,15.3117939959951,15.3117939959951,-0.104079026341111,0.116169873684348,0.0119138070312085,-0.0117735393552557,0.0315403774088834,-0.0305759988650269,-0.0525447708838301,0.0554588430873364,0.152568393320475,-0.132372529217928,0.191394559205235,-0.160647501473326,-0.0668900116993307,0.0716850237785443,-0.0307994757536042,0.0317782285327924,-0.00556404769183736,0.00559517953762912,-0.0040394973070018,0.00405588102748986,-0.00882070949185043,0.00889920680982782,-0.0566528066528067,0.0600550964187328,18.3519173,54.5998285,1e-06,0.04495675
"1759",2215021,"Rumia (1)",-0.106106245885615,0.118701182771703,1.79879279698116,1.79879279698116,0.056364551341379,-0.0533571022141995,-0.038261838294678,0.0397840491499613,0.0152658004675942,-0.0150362599238183,-0.246394658586013,0.326954501309271,-0.031832614863919,0.0328792472795856,0.159410874041158,-0.137492995460295,0.0490050700692998,-0.0467157609315104,-0.00549849569457413,0.00552889630711454,0.00576300085251492,-0.00572997897877534,0.00817045818647869,-0.00810424280947084,0.00150957637512973,-0.00150730098916627,-0.0306838106370544,0.031655110039192,18.3935435,54.5626002,8e-07,0.0359825
"1760",2215031,"Wejherowo (1)",0.0344864382856504,-0.0333367717635828,1.26543581847004,1.26543581847004,0.0177090637373313,-0.0174009099145667,-0.0119410345083411,0.0120853460424796,0.0123830966401108,-0.0122316311692755,-0.0263604420976784,0.027074128083365,-0.0299402599389519,0.0308643464958845,0.0448544708091809,-0.0429289169566778,-0.0474065258411095,0.0497657470128776,0.0097551458394303,-0.00966090232827746,0.0135315679490254,-0.0133509092138173,0.0238574912522532,-0.0233015741507871,-0.0053248136315229,0.00535331905781585,-0.020967902216039,0.0214169711733658,18.2514384,54.601847,1e-06,0.04495675
"1761",2215042,"Choczewo (2)",0.198357257032823,-0.165524309106253,-0.353626037064626,-0.353626037064626,-0.00303022772564871,0.00303943791468819,-0.107332912578237,0.120238456296446,0.0232419117312159,-0.0227139950629007,0.0876721614784405,-0.0806053189402865,-0.023223719356562,0.0237758838096106,-0.0962040070403342,0.106444383234423,0.149718265350351,-0.130221698534751,0.0261194029850746,-0.0254545454545455,0.0141946697566628,-0.0139960011425307,0.0111472364143056,-0.0110243454294901,0.0192455735180908,-0.0188821752265861,-0.0442842430484037,0.0463362068965517,17.875553,54.7675079,0.210815,0.601942
"1762",2215052,"Gniewino (2)",-0.0570801317233809,0.0605355064027939,-0.547318351778328,-0.547318351778328,0.00122634827190035,-0.00122484618389938,-0.171183607492497,0.206539842889205,0.0203395772639065,-0.0199341255765538,-0.156121164673564,0.185004242478924,-0.0412505752416015,0.043025397644433,-0.195410506937713,0.242869821968438,0.119166152160938,-0.10647762347963,0.00638421358096344,-0.0063437139561707,0.0100945017182131,-0.00999362109291941,0.00566666666666667,-0.00563473649320517,0.0181159420289855,-0.0177935943060498,-0.0529801324503311,0.0559440559440559,18.0409001,54.6968316,0.105408,0.323449375
"1763",2215062,"Linia (2)",0.254851862414996,-0.20309318577615,2.82796786937056,2.82796786937056,-0.230909546311201,0.300237176529349,-0.0398096709332776,0.0414601873484515,0.0684704439627268,-0.0640826747708478,-0.000200200646954092,0.000200240735278841,-0.334401481895168,0.502407191120729,-0.120047315577246,0.136424739309701,-0.0816321559412486,0.088888299464486,-0.0182370820668693,0.0185758513931889,-0.00357051772507014,0.00358331200409521,0.00463857750289911,-0.00461716044632551,-0.0194902548725637,0.0198776758409786,-0.0311778290993072,0.032181168057211,17.9348015,54.4514489,0.105408,0.323449375
"1764",2215072,"Luzino (2)",12.6299098472331,-0.926631943189044,0.522102109027974,0.522102109027974,0.273008935795138,-0.214459559645285,-0.052253939173512,0.0551349579105015,0.0398269406136555,-0.0383015087011994,0.0113829670093183,-0.0112548533845473,-0.0187594531065372,0.0191180981726941,-0.30656439918905,0.442094981611173,-0.00719242546307072,0.00724453121384116,-0.0181529385069208,0.0184885602033742,-0.012780487804878,0.0129459432750272,-0.0102941176470588,0.0104011887072808,-0.0176811594202899,0.0179994098554146,-0.0308182784272051,0.0317982456140351,18.1077737,54.5617511,0.105408,0.323449375
"1765",2215082,"Leczyce (2)",-0.28481935768861,0.398248135978769,-0.0992737280371938,-0.0992737280371938,-0.014278417357721,0.0144852437129833,-0.0701404876627548,0.0754312740066006,0.0226929636026521,-0.0221894199043977,-0.0732607978468973,0.0790522270739058,-0.314899231064596,0.459639290076884,-0.0951096715309211,0.105106296905428,-0.025824104559513,0.0265086671517738,0.00481099656357388,-0.00478796169630643,-0.000272851296043656,0.00027292576419214,0.00555898702903027,-0.00552825552825553,-0.0117266477961989,0.0118657937806874,-0.027114967462039,0.0278706800445931,17.891935,54.5835442,0.210815,0.601942
"1766",2215092,"Szemud (2)",-0.708831870830158,2.43444182181315,-0.261079232782157,-0.261079232782157,0.0663828634329248,-0.0622504971799937,-0.0666445469111422,0.0714031794538596,0.000926839602392608,-0.000925981366191345,-0.0304771585096387,0.0314352145255174,0.163568727251245,-0.140575045908677,-0.171286720514814,0.20668996715151,-0.0905463417610186,0.0995612486031974,-0.0233224222585925,0.0238793464599916,-0.0209947738331231,0.0214450069028992,-0.00745324145689776,0.00750920940776424,-0.0451467268623025,0.0472813238770686,-0.0341614906832298,0.0353697749196141,18.2487978,54.4832002,1e-06,0.04495675
"1767",2215102,"Wejherowo (2)",0.129895959921043,-0.114962761642338,19.3722257824651,19.3722257824651,-0.0292273920161872,0.0301073513774654,-0.047198130616058,0.0495361440113201,0.0215543955936807,-0.0210996063319313,-0.0303351982892865,0.031284211034337,-0.116894126020335,0.132367057523418,-0.0376365623002589,0.0391084706940015,-0.0622556471681409,0.0663887198895278,-0.029171528588098,0.0300480769230769,-0.0222330511055613,0.0227385995514578,-0.0169082125603865,0.0171990171990172,-0.0323721917565894,0.03345521023766,-0.0590015128593041,0.0627009646302251,18.2514384,54.601847,1e-06,0.04495675
"1768",2216013,"Dzierzgon (3)",-0.388162189459163,0.634420074686207,-0.060312550497427,-0.060312550497427,-0.00844607971423916,0.00851802362074777,0.0309815131305291,-0.030050503074934,0.0549369773214759,-0.0520760751613456,-0.0790091840039847,0.0857871573003031,-0.049591482311004,0.0521791223331943,-0.214702082079435,0.273402077326217,-0.0467962234770266,0.0490936194647974,0.0259067357512953,-0.0252525252525253,0.0122014091768345,-0.0120543293718166,0.0122282608695652,-0.0120805369127517,0.0121552127162225,-0.0120092378752887,-0.0467345715997603,0.0490257699560025,19.3157496,53.960275,1.5e-06,0.000146375
"1769",2216022,"Mikolajki Pomorskie (2)",-0.0834746847052909,0.0910773366673997,0.230804798749206,0.230804798749206,-0.0862304463134355,0.0943678260733709,0.0489290986568541,-0.0466467168462648,0.0178105104285598,-0.0174988470310259,-0.0233764882740183,0.0239360285650968,0.638571110891481,-0.389712174617835,-0.0618748808433192,0.065955893920569,-0.00887867826904576,0.00895821538128097,0.0498034076015727,-0.0474406991260924,0.0017683465959328,-0.00176522506619594,0.00282685512367491,-0.00281888653981677,0,0,-0.0332225913621262,0.0343642611683849,19.2101701,53.8649095,1.5e-06,0.000146375
"1770",2216032,"Stary Dzierzgon (2)",-1,NA,-0.773472690421281,-0.773472690421281,0.174240008004853,-0.148385344407489,-0.0608443577331103,0.064786234565175,0.0205949656750572,-0.0201793721973094,-0.0824419700282618,0.0898493254217405,0.00961210716476924,-0.00952059419311276,-0.336158578930407,0.506383856537277,0.166994589479994,-0.143097998041624,0.0239099859353024,-0.0233516483516484,0.0281288218507949,-0.0273592386994449,0.0227568270481144,-0.0222504767959313,0.0371584699453552,-0.035827186512118,-0.0520694259012016,0.0549295774647887,19.4530283,53.8807878,1.5e-06,0.000146375
"1771",2216042,"Stary Targ (2)",-1,NA,0.1490268905496,0.1490268905496,-0.00654171153156235,0.00658478731064528,-0.010537173439898,0.0106493878870931,0.0150978706185828,-0.0148733152295772,-0.0816679822379403,0.0889307795637596,-0.164025527736868,0.196208775721131,-0.22399077756787,0.288644478819271,0.0267608451885357,-0.0260633674471895,0.0064882400648824,-0.0064464141821112,0.0155374426897606,-0.0152997241033358,0.0219473264166002,-0.021475985942991,0.00422535211267606,-0.00420757363253857,-0.0478380864765409,0.0502415458937198,19.1655286,53.9739174,1.5e-06,0.000146375
"1772",2216053,"Sztum (3)",0.40098324235167,-0.286215587902811,0.454815407293977,0.454815407293977,0.0693831172777718,-0.0648814406705745,0.026233434876594,-0.0255628339372402,0.0240824288708044,-0.0235161039696371,0.00315981748006184,-0.00314986448320797,-0.004199252553115,0.0042169606358314,-0.0456152544978428,0.047795456405626,0.00754765960296291,-0.00749111918530699,0.0177095631641086,-0.0174013921113689,0.0206921155904388,-0.0202726319468717,0.027042333286139,-0.0263303005238489,0.00988189925283201,-0.00978520286396181,-0.0403684638309401,0.0420666290231508,19.0093218,53.9544616,0.0016220625,0.0440795
"1773",2261011,"Gdansk (1)",-3.2543722948168e-05,3.25447820765393e-05,0.651416079812333,0.651416079812333,-0.0587712512623597,0.0624409861483542,-0.145419965411987,0.170165414035319,0.0243381022858083,-0.0237598330390111,-0.0187761938241822,0.0191354854071058,-0.0138421886009704,0.0140364842634394,-0.0505591724578805,0.0532515255203069,-0.00117710862585815,0.00117849584348105,-0.0258585665463757,0.0265449817227252,-0.001065052374225,0.00106618792020078,-0.000202826042863904,0.0002028671896132,-0.00266363047611089,0.00267074435216121,-0.0159743848414404,0.0162337083459625,18.6047352,54.3817665,8e-07,0.0359825
"1774",2262011,"Gdynia (1)",-0.0456820356030762,0.0478687788633893,0.543872193450047,0.543872193450047,-0.144509854019593,0.168920536020882,0.0445460044324228,-0.0426462829242527,0.0333544028777425,-0.0322777962573685,-0.0498759669772672,0.0524941641762195,0.0864784800526456,-0.0795952074894804,0.0197407666046517,-0.0193586127485919,0.028098782028327,-0.0273308192943203,-0.00818881274584993,0.00825642304814168,0.00960406162958784,-0.00951270106232146,0.0156948400680035,-0.0154523184020041,-0.000603819156162729,0.000604183974020089,-0.0166895432992264,0.0169728117762761,18.5388633,54.5095167,8e-07,0.0359825
"1775",2263011,"Slupsk (1)",0.0761894340859082,-0.0707955604030083,0.047516449710462,0.047516449710462,-0.00989205946952582,0.00999088994703538,-0.0419603706324926,0.0437981575565873,0.0339832273315697,-0.0328663235856071,-0.0103434877767619,0.0104515937085338,0.00202422058429017,-0.00202013139274201,-0.0710045939960851,0.0764315878606033,-0.0368938419907796,0.0383071395442436,-0.00130431797899362,0.00130602144624691,0.018588633725908,-0.0182494022713688,0.0210314387486449,-0.0205982283703434,0.0146986287856368,-0.014485708730313,-0.0268308214816387,0.0275705623173232,17.0284059,54.4745287,39.1512085625,0.579497875
"1776",2264011,"Sopot (1)",0.0763743707196403,-0.0709552111209951,-0.170278106042551,-0.170278106042551,-0.0346165889164448,0.0358578659204334,0.00112875396839031,-0.00112748131937677,0.035277763206211,-0.0340756504775658,0.276598311218335,-0.216668241519418,0.0807685590760978,-0.0747325210359037,-0.119362428039126,0.135540921531826,0.0517660094652531,-0.0492181806593772,0.00857142857142857,-0.0084985835694051,0.0212744351358213,-0.0208312618076961,0.0286504146770545,-0.0278524309797215,0.00992523846352153,-0.00982769623484365,-0.0114171169600837,0.0115489729348497,18.5491201,54.4416181,8e-07,0.0359825
"1777",2401011,"Bedzin (1)",0.357870150821904,-0.263552557367352,0.377795011276194,0.377795011276194,-0.05913341929248,0.0628499518475961,-0.0236865778328748,0.0242612436693718,0.0556906196527007,-0.0527527844010035,-0.153077522207002,0.180745612757744,-0.0679165445031283,0.0728653041769994,-0.0142150712622964,0.0144200533482478,0.000321022037843782,-0.000320919015767357,0.00809671694764862,-0.00803168665419738,0.018577737170702,-0.0182388996860517,0.0250198176773682,-0.0244091062883658,0.00829973915105525,-0.00823142050799624,-0.0160656415913949,0.0163279607568325,19.1132834,50.4140948,6.2722248097141,0.0357917805935106
"1778",2401021,"Czeladz (1)",0.499583865136889,-0.333148333181942,-0.465550609944274,-0.465550609944274,-0.0151493965712199,0.0153824311204938,-0.0247828634882894,0.0254126620220561,NA,NA,0.164716582657076,-0.141422029281412,-0.134858429504282,0.155880186669344,-0.0690682529822371,0.0741926067120356,-0.00683847311951375,0.00688555983536067,-0.00126395618285233,0.00126555578991774,0.024472433985195,-0.0238878403882448,0.0209674452823248,-0.0205368402089714,0.0297454344216934,-0.0288862018003493,-0.0192847124824684,0.0196639256346085,19.0850598,50.3171514,6.2722248097141,0.0357917805935106
"1779",2401031,"Wojkowice (1)",-0.361371237458194,0.56585493584708,-0.164798431409048,-0.164798431409048,0.178169668630224,-0.15122581524049,0.000213546284486724,-0.000213500692207168,0.0358255451713396,-0.0345864661654135,0.0493358924275197,-0.0470163012468645,-0.0452521143320864,0.0473969254201902,-0.0851149086398433,0.093033441514828,-0.362719186076076,0.56916696399929,0.0052434456928839,-0.00521609538002981,0.00688372093023256,-0.00683665927568367,0.00381679389312977,-0.00380228136882129,0.0112057373375168,-0.0110815602836879,-0.0224014336917563,0.0229147571035747,19.03572,50.364569,6.2722248097141,0.0357917805935106
"1780",2401042,"Bobrowniki (2)",0.0389990698101724,-0.0375352307267201,0.113848545132108,0.113848545132108,-0.123074978761834,0.140348348811008,-0.0250759137099728,0.0257208884902994,0.0268632585946714,-0.0261605022575601,0.0160733073144608,-0.0158190429752981,0.0460318997356138,-0.044006210276425,-0.109054587341765,0.12240321998672,0.0346384792041723,-0.0334788236668094,0,0,0.00267567948176313,-0.0026685393258427,0.0109289617486339,-0.0108108108108108,-0.00933609958506224,0.00942408376963351,-0.0351395730706076,0.0364193328795099,19.0348269,50.4166996,6.2722248097141,0.0357917805935106
"1781",2401052,"Mierzecice (2)",-0.323563351027002,0.478335039235756,-0.54670350213355,-0.54670350213355,-0.0400228277144564,0.0416914369111182,-0.0147352881854546,0.0149556642075579,0.0475568829434183,-0.0453979003123852,-0.0347511645749603,0.0360022859386906,0.188616164398579,-0.158685511814502,-0.02595060568862,0.026641981238504,-0.115425427850123,0.130486938562559,0.00232018561484919,-0.00231481481481481,0.0156182212581345,-0.0153780435711235,0.0346588836191171,-0.0334978843441467,-0.0123060460139112,0.0124593716143012,-0.0265588914549654,0.0272835112692764,19.1479173,50.4403616,6.2722248097141,0.0357917805935106
"1782",2401062,"Psary (2)",0.533404752629529,-0.347856462369006,0.201318007618988,0.201318007618988,-0.00880569801620529,0.0088839271962938,-0.213439853567334,0.27135859162883,0.0747241069165198,-0.0695286412909356,-0.0235312970222383,0.0240983627539511,0.0494731699387485,-0.0471409573449467,-0.0876396177481353,0.0960581141542177,-0.282905718273805,0.394516767854838,-0.0210224558050645,0.0214738897022938,0.00195804195804196,-0.00195421552205472,0.00545799715234931,-0.00542836912910078,-0.00306539509536785,0.00307482063546293,-0.0248488918737408,0.0254820936639118,19.1073741,50.3829518,6.2722248097141,0.0357917805935106
"1783",2401073,"Siewierz (3)",0.489975831726204,-0.328848174106653,-0.33271810402316,-0.33271810402316,-0.133206234216905,0.153676963858365,-0.0353956263740072,0.0366944493947849,0.061992943385881,-0.0583741575421707,-0.0289233824749426,0.0297848614135705,0.034094653735444,-0.0329705347690218,-0.106295381091757,0.118937934125941,-0.0836635662760661,0.0913022370354331,0.0169891458235017,-0.0167053364269142,0.0116326809908307,-0.0114989177489177,0.0262806236080178,-0.0256076388888889,-0.0117145899893504,0.0118534482758621,-0.0203945168839853,0.0208191126279863,19.2325244,50.4688219,6.2722248097141,0.0357917805935106
"1784",2401081,"Slawków (1)",-0.0407457863745369,0.0424765258215962,-0.696022152174034,-0.696022152174034,-0.0358584438649436,0.0371920944977094,0.42453260948451,-0.298015367747976,0.0204015633493704,-0.0199936613997378,0.000587951560471709,-0.000587606076562052,-0.081589933493938,0.0888382395505891,-0.0144498967831901,0.0146617576681551,-0.0268126366749646,0.0275513613158265,0.0178571428571429,-0.0175438596491228,0.0179141104294479,-0.0175988428158148,0.0299760191846523,-0.0291036088474971,-0.00127145581691036,0.00127307447485678,-0.0196304849884527,0.0200235571260306,19.3667557,50.2956338,6.2722248097141,0.0357917805935106
"1785",2402011,"Szczyrk (1)",-0.296050397337499,0.420556238994621,-0.388160820153631,-0.388160820153631,-0.0779744429453845,0.08456863516286,-0.0713791011441407,0.0768657061585475,0.0382482331831579,-0.0368391989128581,0.0264939212858026,-0.0258101102562945,-0.0584182683933367,0.0620426952142062,-0.105633688474574,0.118110093273086,-0.429711675179051,0.753498987225392,-0.0158730158730159,0.0161290322580645,0.0176286607904464,-0.0173232746577256,0.0131208997188379,-0.0129509713228492,0.0245842371655821,-0.0239943542695836,-0.0407830342577488,0.0425170068027211,19.0073693,49.6970484,6.2722248097141,0.0357917805935106
"1786",2402022,"Bestwina (2)",0.0937984643587662,-0.085754796166911,3.60024654800694,3.60024654800694,-0.00416225725756638,0.00417965405298252,-0.0332756962424768,0.0344210817015139,0.0185166545693742,-0.0181800213931729,-0.0447686714804217,0.0468668375332752,-0.0689636110012044,0.0740718749729701,-0.0927031563940052,0.102175111758972,0.0242837753759531,-0.0237080543104766,-0.0223628691983122,0.0228744065602072,-0.000966984390109131,0.000967920353982301,0.00398494576046048,-0.00396912899669239,-0.0091844232182219,0.00926955876900259,-0.0269565217391304,0.0277033065236819,19.0554096,49.9009998,6.2722248097141,0.0357917805935106
"1787",2402032,"Buczkowice (2)",-0.279755246364919,0.388416916545372,-0.147067714176112,-0.147067714176112,0.0252868282189401,-0.0246631747555625,-0.0649168989853475,0.069423668243931,0.00764967721015226,-0.0075916038908797,-0.113638772159004,0.128208193893822,0.0403958115784192,-0.0388273492923172,-0.150065002602267,0.176560564115756,0.0284535970205751,-0.0276663887442322,-0.00138312586445367,0.00138504155124654,-0.000292697204741695,0.000292782901478554,0.00600323250981298,-0.00596740876750057,-0.0111910471622702,0.0113177041228779,-0.0215730337078652,0.0220486908589802,19.0901313,49.7253168,6.2722248097141,0.0357917805935106
